Województwo,Przestępstwo,Kwartał,Rok,Liczba
ŚWIĘTOKRZYSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2022,735.0
WARMIŃSKO-MAZURSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2022,137.0
WIELKOPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2022,1483.0
ZACHODNIOPOMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2022,673.0
POLSKA,przeciwko wiarygodności dokumentów,1 kwartał,2023,19002.0
DOLNOŚLĄSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,1376.0
KUJAWSKO-POMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,378.0
LUBELSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,279.0
LUBUSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,136.0
ŁÓDZKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,1214.0
MAŁOPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,487.0
MAZOWIECKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,2868.0
OPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,238.0
PODKARPACKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,162.0
PODLASKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,778.0
POMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,1988.0
ŚLĄSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,4412.0
ŚWIĘTOKRZYSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,468.0
WARMIŃSKO-MAZURSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,1736.0
WIELKOPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,2124.0
ZACHODNIOPOMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2023,358.0
POLSKA,przeciwko wiarygodności dokumentów,1 kwartał,2024,19334.0
DOLNOŚLĄSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,1510.0
KUJAWSKO-POMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,270.0
LUBELSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,231.0
LUBUSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,90.0
ŁÓDZKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,3632.0
MAŁOPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,2529.0
MAZOWIECKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,1707.0
OPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,202.0
PODKARPACKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,754.0
PODLASKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,107.0
POMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,447.0
ŚLĄSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,3599.0
ŚWIĘTOKRZYSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,227.0
WARMIŃSKO-MAZURSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,499.0
WIELKOPOLSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,3202.0
ZACHODNIOPOMORSKIE,przeciwko wiarygodności dokumentów,1 kwartał,2024,328.0
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2016,
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2017,
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2018,
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2019,
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2020,1811.0
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,64.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,44.0
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,36.0
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,25.0
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,321.0
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,120.0
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,289.0
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,32.0
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,20.0
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,25.0
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,51.0
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,263.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,294.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,27.0
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,152.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2020,48.0
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2021,2034.0
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,112.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,300.0
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,39.0
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,43.0
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,64.0
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,159.0
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,409.0
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,53.0
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,26.0
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,58.0
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,91.0
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,438.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,31.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,64.0
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,112.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2021,35.0
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2022,2455.0
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,197.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,546.0
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,60.0
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,25.0
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,107.0
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,43.0
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,280.0
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,6.0
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,58.0
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,25.0
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,50.0
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,767.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,34.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,52.0
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,190.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2022,15.0
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2023,1540.0
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,65.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,71.0
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,47.0
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,62.0
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,87.0
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,76.0
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,320.0
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,73.0
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,46.0
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,37.0
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,137.0
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,232.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,24.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,100.0
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,104.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2023,59.0
POLSKA,przeciwko obrotowi gospodarczemu,1 kwartał,2024,1585.0
DOLNOŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,93.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,84.0
LUBELSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,33.0
LUBUSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,19.0
ŁÓDZKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,114.0
MAŁOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,81.0
MAZOWIECKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,360.0
OPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,15.0
PODKARPACKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,61.0
PODLASKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,82.0
POMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,94.0
ŚLĄSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,228.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,20.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,34.0
WIELKOPOLSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,200.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi gospodarczemu,1 kwartał,2024,67.0
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2016,
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2017,
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2018,
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2019,
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,1565.0
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,53.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,50.0
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,164.0
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,62.0
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,92.0
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,102.0
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,488.0
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,7.0
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,26.0
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,21.0
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,22.0
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,267.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,54.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,12.0
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,94.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2020,51.0
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,971.0
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,49.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,43.0
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,53.0
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,36.0
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,69.0
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,80.0
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,134.0
OPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,9.0
PODKARPACKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,58.0
PODLASKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,21.0
POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,9.0
ŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,122.0
ŚWIĘTOKRZYSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,139.0
WARMIŃSKO-MAZURSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,16.0
WIELKOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,60.0
ZACHODNIOPOMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2021,73.0
POLSKA,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,951.0
DOLNOŚLĄSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,27.0
KUJAWSKO-POMORSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,51.0
LUBELSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,74.0
LUBUSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,31.0
ŁÓDZKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,114.0
MAŁOPOLSKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,109.0
MAZOWIECKIE,przeciwko obrotowi pieniędzmi i papierami wartościowymi,1 kwartał,2022,101.0
